season,week,home_team,away_team,home_points,away_points,spread,neutral_site,venue,favorite,underdog,winner,underdog_win
2019,1,Colgate,Villanova,14,34,0.0,False,Andy Kerr Stadium,Villanova,Colgate,Villanova,0
2019,1,Samford,Youngstown State,22,45,0.0,True,Cramton Bowl,Youngstown State,Samford,Youngstown State,0
2019,1,Florida,Miami,24,20,0.0,True,Camping World Stadium,Miami,Florida,Florida,1
2019,1,Hawai'i,Arizona,45,38,0.0,False,Aloha Stadium,Arizona,Hawai'i,Hawai'i,1
2019,1,Morehead State,Union College,44,7,0.0,False,Jayne Stadium,Union College,Morehead State,Morehead State,1
2019,1,Richmond,Jacksonville,38,19,0.0,False,E. Claiborne Robins Stadium,Jacksonville,Richmond,Richmond,1
2019,1,Stony Brook,Bryant,35,10,0.0,False,Kenneth P. LaValle Stadium,Bryant,Stony Brook,Stony Brook,1
2019,1,Eastern Kentucky,Valparaiso,53,7,0.0,False,Roy Kidd Stadium,Valparaiso,Eastern Kentucky,Eastern Kentucky,1
2019,1,Chattanooga,Eastern Illinois,24,10,0.0,False,Finley Stadium,Eastern Illinois,Chattanooga,Chattanooga,1
2019,1,UConn,Wagner,24,21,0.0,False,Pratt & Whitney Stadium,Wagner,UConn,UConn,1
2019,1,Buffalo,Robert Morris,38,10,0.0,False,UB Stadium,Robert Morris,Buffalo,Buffalo,1
2019,1,Bowling Green,Morgan State,46,3,0.0,False,Doyt L. Perry Stadium,Morgan State,Bowling Green,Bowling Green,1
2019,1,Murray State,Pikeville,59,20,0.0,False,Roy Stewart Stadium,Pikeville,Murray State,Murray State,1
2019,1,Delaware,Delaware State,31,13,0.0,False,Delaware Stadium,Delaware State,Delaware,Delaware,1
2019,1,Cincinnati,UCLA,24,14,0.0,False,Nippert Stadium,UCLA,Cincinnati,Cincinnati,1
2019,1,Southeast Missouri State,Southern Illinois,44,26,0.0,False,Houck Stadium,Southern Illinois,Southeast Missouri State,Southeast Missouri State,1
2019,1,UCF,Florida A&M,62,0,0.0,False,FBC Mortgage Stadium,Florida A&M,UCF,UCF,1
2019,1,UT Martin,Northwestern State,42,20,0.0,False,Graham Stadium,Northwestern State,UT Martin,UT Martin,1
2019,1,Western Kentucky,Central Arkansas,28,35,0.0,False,Houchens Industries-L.T. Smith Stadium,Central Arkansas,Western Kentucky,Central Arkansas,0
2019,1,Charlotte,Gardner-Webb,49,28,0.0,False,Jerry Richardson Stadium,Gardner-Webb,Charlotte,Charlotte,1
2019,1,Lamar,Bethel University Tennessee,65,16,0.0,False,Provost Umphrey Stadium,Bethel University Tennessee,Lamar,Lamar,1
2019,1,UAB,Alabama State,24,19,0.0,False,Legion Field,Alabama State,UAB,UAB,1
2019,1,North Alabama,Western Illinois,26,17,0.0,False,Braly Municipal Stadium,Western Illinois,North Alabama,North Alabama,1
2019,1,Austin Peay,North Carolina Central,41,10,0.0,False,Governors Stadium,North Carolina Central,Austin Peay,Austin Peay,1
2019,1,Tulane,Florida International,42,14,0.0,False,Yulman Stadium,Florida International,Tulane,Tulane,1
2019,1,SE Louisiana,Jacksonville State,35,14,0.0,False,Strawberry Stadium,Jacksonville State,SE Louisiana,SE Louisiana,1
2019,1,Clemson,Georgia Tech,52,14,0.0,False,"Memorial Stadium (Clemson, SC)",Georgia Tech,Clemson,Clemson,1
2019,1,Texas A&M,Texas State,41,7,0.0,False,Kyle Field,Texas State,Texas A&M,Texas A&M,1
2019,1,Central Michigan,UAlbany,38,21,0.0,False,Kelly/Shorts Stadium,UAlbany,Central Michigan,Central Michigan,1
2019,1,Minnesota,South Dakota State,28,21,0.0,False,Huntington Bank Stadium,South Dakota State,Minnesota,Minnesota,1
2019,1,Northern Arizona,Missouri State,37,23,0.0,False,Walkup Skydome,Missouri State,Northern Arizona,Northern Arizona,1
