season,week,home_team,away_team,home_points,away_points,spread,over_under,neutral_site,home_conference,away_conference,venue
2023,1,Notre Dame,Navy,42,3,,,True,FBS Independents,American Athletic,Aviva Stadium
2023,1,Mercer,North Alabama,17,7,,,True,Southern,UAC,Cramton Bowl
2023,1,Jacksonville State,UTEP,17,14,,,False,Conference USA,Conference USA,AmFirst Stadium
2023,1,San Diego State,Ohio,20,13,,,False,Mountain West,Mid-American,Snapdragon Stadium
2023,1,UAlbany,Fordham,34,13,,,False,CAA,Patriot,Bob Ford Field
2023,1,New Mexico State,Massachusetts,30,41,,,False,Conference USA,FBS Independents,Aggie Memorial Stadium
2023,1,Vanderbilt,Hawai'i,35,28,,,False,SEC,Mountain West,FirstBank Stadium
2023,1,Jackson State,South Carolina State,37,7,,,True,SWAC,MEAC,Center Parc Stadium
2023,1,USC,San José State,56,28,,,False,Pac-12,Mountain West,Los Angeles Memorial Coliseum
2023,1,Louisiana Tech,Florida International,22,17,,,False,Conference USA,Conference USA,Joe Aillet Stadium
2023,1,Kennesaw State,Greeneville,38,7,,,False,FCS Independents,South Atlantic,Fifth Third Stadium
2023,1,East Texas A&M,UC Davis,10,48,,,False,Southland,Big Sky,Memorial Stadium (Commerce TX)
2023,1,Lamar,Idaho,17,42,,,False,Southland,Big Sky,Provost Umphrey Stadium
2023,1,Hiram College,Heidelberg,14,68,,,False,North Coast,Ohio,Charles A. Henry Field
2023,1,New Haven,Frostburg State,24,27,,,False,Northeast 10,Mountain East,Ralph F. DellaCamera Stadium
2023,1,Morehead State,West Virginia State,37,35,,,False,Pioneer,Mountain East,Jayne Stadium
2023,1,Northwood (MI),Glenville State,9,44,,,False,Great Midwest Athletic,Mountain East,Hantz Stadium
2023,1,Charleston Southern,North Greenville,13,10,,,False,Big South-OVC,Gulf South,Buccaneer Field
2023,1,Wingate,Albany State GA,30,7,,,False,South Atlantic,SIAC,Irwin Belk Stadium
2023,1,Alderson-Broaddus,PennWest California,0,0,,,False,Mountain East,Pennsylvania State Athletic,Multi-Sport Performance Stadium
2023,1,Keiser University,Mississippi College,14,17,,,True,,Gulf South,Keiser Multi-Purpose Field
2023,1,Saginaw Valley State,Winona State,34,24,,,False,GLIAC,Northern Sun,Harvey Randall Wickes Memorial Stadium
2023,1,Wilson,Chowan,41,0,,,False,South Atlantic,Gulf South,Electric Supply Company Field
2023,1,UNC Pembroke,Fayetteville State,19,17,,,False,Mountain East,CIAA,Grace P. Johnson Stadium
2023,1,Rowan,Stevenson,17,20,,,False,New Jersey,Mid Atlantic,Richard Wackar Stadium
2023,1,Lakeland,Wisconsin-Platteville,13,80,,,False,NACC,Wisconsin,Taylor Field
2023,1,Sioux Falls,Minnesota State Mankato,26,54,,,False,Northern Sun,Northern Sun,Bob Young Field
